Name,Danger,Magician level,Remarks,Scores,Absenses,Lupin coef,Quidditch,Disease,Beans,Teacher,StickLevel,Volan-De-Mort
Ginny,9,2,0,3,12,0.37,0,0.12,3,Dumbledore,2,3
Crabbe,23,2,0,2,27,0.82,0,0.27,4,Hagrid,2,4
Harry,45,3,10,0,21,0.0,20,0.71,0,Trelawney,3,6
Ginny,2,6,9,3,21,0.59,9,0.21,3,Trelawney,2,10
Hermiona,31,2,23,2,0,0.0,0,0.38,4,Trelawney,1,7
Fred,19,6,18,2,27,1.33,2,0.31,4,Hagrid,2,10
Draco,18,6,9,2,21,0.97,1,0.23,4,Trelawney,2,4
Crabbe,23,4,0,2,27,0.96,0,0.27,4,Hagrid,4,4
Goyle,32,6,26,2,43,1.61,0,0.37,4,Lupin,2,5
Fred,24,3,18,2,27,1.85,2,0.31,4,Hagrid,3,5
Goyle,35,3,29,2,46,1.41,0,0.37,4,Sprout,3,2
Crabbe,17,8,14,2,41,1.54,0,0.27,4,Lupin,4,10
Goyle,27,6,15,2,32,1.51,0,0.37,4,Mcgonagall,2,10
Harry,43,3,9,0,20,0.0,19,0.7,0,Mcgonagall,1,8
Goyle,29,8,29,2,46,2.41,0,0.37,4,Sprout,4,8
Sedric,34,6,7,2,21,1.47,23,0.67,4,Trelawney,3,10
Harry,47,6,2,0,13,0.0,12,0.63,0,Lupin,2,4
George,39,6,4,2,32,0.94,16,0.64,4,Mcgonagall,3,9
Ginny,9,3,1,3,13,0.66,1,0.13,3,Lupin,3,3
Goyle,27,3,29,2,46,2.46,0,0.37,4,Sprout,3,10
Draco,17,2,1,2,13,0.4,9,0.31,4,Lupin,1,5
Ron,1,6,22,1,46,0.51,42,0.46,2,Mcgonagall,3,3
Hermiona,32,12,23,2,0,1.52,0,0.38,4,Trelawney,4,6
Fred,21,4,0,2,9,0.58,20,0.49,4,Dumbledore,2,8
Crabbe,26,12,11,2,38,1.54,0,0.27,4,Sprout,4,1
Fred,22,4,18,2,27,0.55,2,0.31,4,Hagrid,2,7
Draco,17,2,3,2,15,0.28,7,0.29,4,Snape,2,5
Hermiona,31,3,18,2,0,0.68,0,0.38,4,Sprout,1,7
Fred,20,3,18,2,27,0.83,2,0.31,4,Hagrid,3,9
Ron,48,8,19,1,43,1.39,39,0.93,2,Lupin,4,6
Ginny,3,3,1,3,13,0.22,1,0.13,3,Lupin,3,9
Fred,26,6,7,2,16,1.45,13,0.42,4,Mcgonagall,3,3
Goyle,32,3,10,2,27,0.58,0,0.37,4,Hagrid,1,5
Hermiona,28,2,29,2,0,0.79,0,0.38,4,Hagrid,1,10
Hermiona,35,9,26,2,0,2.68,0,0.38,4,Mcgonagall,3,3
George,46,8,18,2,46,3.18,2,0.5,4,Sprout,4,2
Sedric,43,6,13,2,27,2.01,17,0.61,4,Hagrid,3,1
Goyle,31,2,0,2,17,0.0,0,0.37,4,Dumbledore,1,6
